Question,Answer
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹219.71 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹192.21 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹924.13 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹65.23 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹481.7 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹561.27 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹169.54 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹629.38 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹783.36 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹102.88 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹269.04 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹257.33 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹824.37 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹303.59 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹793.3 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹929.05 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹473.36 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹478.17 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹430.49 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹460.93 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹917.3 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹520.21 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹575.58 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹296.41 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹622.98 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹484.08 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹479.31 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹624.22 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹777.18 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹842.93 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹974.99 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹989.81 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹484.04 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹38.39 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹334.53 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹580.74 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹638.28 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹727.86 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹117.74 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹891.94 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹440.58 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹310.96 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹430.74 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹47.99 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹728.13 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹890.35 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹356.55 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹271.51 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹288.31 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹663.49 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹711.77 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹822.12 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹889.52 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹471.55 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹136.69 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹148.61 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹768.39 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹545.52 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹978.58 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹62.59 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹146.53 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹168.3 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹225.2 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹875.37 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹772.77 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹617.12 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹900.61 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹159.25 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹16.62 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹906.96 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹446.61 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹406.06 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹286.25 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹319.6 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹798.16 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹674.23 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹940.48 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹42.63 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Automated Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹433.02 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹606.91 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹129.41 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹444.1 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹634.26 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹672.89 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹557.67 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹272.53 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹503.24 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹611.37 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹501.54 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹290.23 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹195.84 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹88.05 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹97.99 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹349.24 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹421.51 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹422.77 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹925.03 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹319.58 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Surface' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Surface', and reduce repair cost of ₹556.42 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹818.54 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹320.62 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹178.82 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹237.65 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹658.16 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹326.58 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹301.61 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹357.56 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Manual Testing' method. Severity level: Critical.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹358.21 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹89.91 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Internal' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Internal', and reduce repair cost of ₹18.42 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹294.31 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹865.96 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹578.28 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Surface' using 'Visual Inspection' method. Severity level: Critical.,"Investigate the root cause of 'Structural', improve inspection at 'Surface', and reduce repair cost of ₹495.87 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Component' using 'Visual Inspection' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Component', and reduce repair cost of ₹728.39 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹949.72 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Manual Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹56.12 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Component' using 'Automated Testing' method. Severity level: Moderate.,"Investigate the root cause of 'Structural', improve inspection at 'Component', and reduce repair cost of ₹56.35 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Structural' was found at 'Internal' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Structural', improve inspection at 'Internal', and reduce repair cost of ₹651.35 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Manual Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹471.27 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Surface' using 'Visual Inspection' method. Severity level: Moderate.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Surface', and reduce repair cost of ₹732.6 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Cosmetic' was found at 'Component' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Cosmetic', improve inspection at 'Component', and reduce repair cost of ₹865.3 by applying standardization and process control."
How can we solve this issue using Kaizen? A defect of type 'Functional' was found at 'Internal' using 'Automated Testing' method. Severity level: Minor.,"Investigate the root cause of 'Functional', improve inspection at 'Internal', and reduce repair cost of ₹49.2 by applying standardization and process control."
